,country,year,gpd,life,continent,population
59,Afghanistan,1858,688,27.62,Asia,3940648
60,Afghanistan,1859,690,27.61,Asia,3957274
61,Afghanistan,1860,692,27.6,Asia,3973968
62,Afghanistan,1861,695,27.59,Asia,3991172
63,Afghanistan,1862,697,27.58,Asia,4008889
64,Afghanistan,1863,699,27.57,Asia,4027125
65,Afghanistan,1864,702,27.56,Asia,4045883
66,Afghanistan,1865,704,27.54,Asia,4065170
67,Afghanistan,1866,707,27.53,Asia,4084989
68,Afghanistan,1867,709,27.52,Asia,4105346
69,Afghanistan,1868,711,27.51,Asia,4126245
70,Afghanistan,1869,714,27.5,Asia,4147692
71,Afghanistan,1870,716,27.49,Asia,4169690
72,Afghanistan,1871,719,27.55,Asia,4192245
73,Afghanistan,1872,721,27.61,Asia,4215362
74,Afghanistan,1873,724,27.66,Asia,4236341
75,Afghanistan,1874,726,27.72,Asia,4260730
76,Afghanistan,1875,729,27.78,Asia,4285744
77,Afghanistan,1876,731,27.84,Asia,4311388
78,Afghanistan,1877,734,27.9,Asia,4336107
79,Afghanistan,1878,736,27.96,Asia,4363439
80,Afghanistan,1879,739,28.01,Asia,4391478
81,Afghanistan,1880,741,28.07,Asia,4419695
82,Afghanistan,1881,744,28.13,Asia,4447479
83,Afghanistan,1882,746,28.19,Asia,4476050
84,Afghanistan,1883,749,28.24,Asia,4504802
85,Afghanistan,1884,751,28.3,Asia,4533190
86,Afghanistan,1885,754,28.36,Asia,4562304
87,Afghanistan,1886,756,28.42,Asia,4591602
88,Afghanistan,1887,759,28.48,Asia,4620608
89,Afghanistan,1888,761,28.53,Asia,4650274
90,Afghanistan,1889,764,28.59,Asia,4680128
91,Afghanistan,1890,767,28.65,Asia,4710171
92,Afghanistan,1891,769,28.71,Asia,4740404
93,Afghanistan,1892,772,28.76,Asia,4770828
94,Afghanistan,1893,774,28.82,Asia,4801444
95,Afghanistan,1894,777,28.88,Asia,4832253
96,Afghanistan,1895,780,28.93,Asia,4863258
97,Afghanistan,1896,782,28.99,Asia,4894458
98,Afghanistan,1897,785,29.05,Asia,4925855
99,Afghanistan,1898,788,29.11,Asia,4957450
100,Afghanistan,1899,790,29.16,Asia,4989245
101,Afghanistan,1900,793,29.22,Asia,5021241
102,Afghanistan,1901,796,29.28,Asia,5053439
103,Afghanistan,1902,798,29.33,Asia,5085403
104,Afghanistan,1903,801,29.39,Asia,5118005
105,Afghanistan,1904,804,29.45,Asia,5150814
106,Afghanistan,1905,807,29.5,Asia,5183829
107,Afghanistan,1906,809,29.55,Asia,5217053
108,Afghanistan,1907,812,29.61,Asia,5249854
109,Afghanistan,1908,815,29.66,Asia,5283495
110,Afghanistan,1909,818,29.72,Asia,5317347
111,Afghanistan,1910,820,29.77,Asia,5351413
112,Afghanistan,1911,823,29.83,Asia,5385509
113,Afghanistan,1912,826,29.89,Asia,5420004
114,Afghanistan,1913,829,29.94,Asia,5459010
115,Afghanistan,1914,833,30,Asia,5502589
116,Afghanistan,1915,837,30.06,Asia,5550805
117,Afghanistan,1916,841,30.11,Asia,5599440
118,Afghanistan,1917,845,30.17,Asia,5648497
119,Afghanistan,1918,849,7.89,Asia,5704092
120,Afghanistan,1919,853,30.28,Asia,5758692
121,Afghanistan,1920,857,30.34,Asia,5813814
122,Afghanistan,1921,863,30.39,Asia,5869464
123,Afghanistan,1922,868,30.45,Asia,5925647
124,Afghanistan,1923,874,30.5,Asia,5982368
125,Afghanistan,1924,880,30.56,Asia,6039631
126,Afghanistan,1925,885,30.61,Asia,6097443
127,Afghanistan,1926,891,30.67,Asia,6155808
128,Afghanistan,1927,897,30.73,Asia,6214731
129,Afghanistan,1928,903,30.78,Asia,6274219
130,Afghanistan,1929,909,30.84,Asia,6334276
131,Afghanistan,1930,915,30.89,Asia,6394908
132,Afghanistan,1931,921,30.95,Asia,6456120
133,Afghanistan,1932,927,31,Asia,6517918
134,Afghanistan,1933,933,31.06,Asia,6580308
135,Afghanistan,1934,939,31.11,Asia,6643295
136,Afghanistan,1935,945,31.17,Asia,6706885
137,Afghanistan,1936,951,31.22,Asia,6771083
138,Afghanistan,1937,957,31.28,Asia,6835896
139,Afghanistan,1938,963,31.33,Asia,6901330
140,Afghanistan,1939,969,31.39,Asia,6967389
141,Afghanistan,1940,976,31.44,Asia,7034081
142,Afghanistan,1941,982,31.5,Asia,7101412
143,Afghanistan,1942,988,31.55,Asia,7169387
144,Afghanistan,1943,995,31.61,Asia,7238012
145,Afghanistan,1944,1001,31.66,Asia,7307295
146,Afghanistan,1945,1007,31.72,Asia,7377241
147,Afghanistan,1946,1014,31.76,Asia,7447856
148,Afghanistan,1947,1020,31.81,Asia,7519147
149,Afghanistan,1948,1027,31.87,Asia,7591120
150,Afghanistan,1949,1033,31.92,Asia,7663783
151,Afghanistan,1950,1040,31.98,Asia,7752118
152,Afghanistan,1951,1055,32.36,Asia,7839510
153,Afghanistan,1952,1074,33.05,Asia,7934980
154,Afghanistan,1953,1122,33.73,Asia,8038596
155,Afghanistan,1954,1127,34.43,Asia,8150447
156,Afghanistan,1955,1131,35.13,Asia,8270581
157,Afghanistan,1956,1161,35.82,Asia,8399030
158,Afghanistan,1957,1141,36.53,Asia,8535807
159,Afghanistan,1958,1183,37.23,Asia,8680946
160,Afghanistan,1959,1194,37.94,Asia,8834445
161,Afghanistan,1960,1213,38.65,Asia,8996351
162,Afghanistan,1961,1199,39.36,Asia,9166764
163,Afghanistan,1962,1195,40.07,Asia,9345868
164,Afghanistan,1963,1192,40.78,Asia,9533954
165,Afghanistan,1964,1190,41.51,Asia,9731361
166,Afghanistan,1965,1190,42.22,Asia,9938414
167,Afghanistan,1966,1176,42.94,Asia,10152331
168,Afghanistan,1967,1181,43.66,Asia,10372630
169,Afghanistan,1968,1196,44.37,Asia,10604346
170,Afghanistan,1969,1187,45.08,Asia,10854428
171,Afghanistan,1970,1183,45.78,Asia,11126123
172,Afghanistan,1971,1100,45.89,Asia,11417825
173,Afghanistan,1972,1054,45.89,Asia,11721940
174,Afghanistan,1973,1146,45.98,Asia,12027822
175,Afghanistan,1974,1179,46.09,Asia,12321541
176,Afghanistan,1975,1211,46.26,Asia,12590286
177,Afghanistan,1976,1241,46.46,Asia,12840299
178,Afghanistan,1977,1128,46.6,Asia,13067538
179,Afghanistan,1978,1189,45.02,Asia,13237734
180,Afghanistan,1979,1165,43.57,Asia,13306695
181,Afghanistan,1980,1168,43.26,Asia,13248370
182,Afghanistan,1981,1295,44.06,Asia,13053954
183,Afghanistan,1982,1414,43.75,Asia,12749645
184,Afghanistan,1983,1467,42.02,Asia,12389269
185,Afghanistan,1984,1443,39.77,Asia,12047115
186,Afghanistan,1985,1397,41.61,Asia,11783050
187,Afghanistan,1986,1500,42.58,Asia,11601041
188,Afghanistan,1987,1242,44.7,Asia,11502761
189,Afghanistan,1988,1124,46.97,Asia,11540888
190,Afghanistan,1989,1098,50.78,Asia,11777609
191,Afghanistan,1990,1038,51.61,Asia,12249114
192,Afghanistan,1991,1032,51.29,Asia,12993657
193,Afghanistan,1992,950,51.42,Asia,13981231
194,Afghanistan,1993,818,51.35,Asia,15095099
195,Afghanistan,1994,732,50.71,Asia,16172719
196,Afghanistan,1995,881,51.07,Asia,17099541
197,Afghanistan,1996,904,51.4,Asia,17822884
198,Afghanistan,1997,930,51.13,Asia,18381605
199,Afghanistan,1998,956,50.12,Asia,18863999
200,Afghanistan,1999,982,51.54,Asia,19403676
201,Afghanistan,2000,972,51.63,Asia,20093756
202,Afghanistan,2001,871,51.69,Asia,20966463
203,Afghanistan,2002,1064,52.43,Asia,21979923
204,Afghanistan,2003,1099,53.03,Asia,23064851
205,Afghanistan,2004,1062,53.5,Asia,24118979
206,Afghanistan,2005,1136,53.87,Asia,25070798
207,Afghanistan,2006,1161,54.15,Asia,25893450
208,Afghanistan,2007,1285,54.57,Asia,26616792
209,Afghanistan,2008,1298,55.21,Asia,27294031
210,Afghanistan,2009,1531,55.69,Asia,28004331
211,Afghanistan,2010,1614,56.2,Asia,28803167
212,Afghanistan,2011,1661,56.71,Asia,29708599
213,Afghanistan,2012,1839,57.23,Asia,30696958
214,Afghanistan,2013,1814,57.71,Asia,31731688
215,Afghanistan,2014,1780,57.83,Asia,32758020
216,Afghanistan,2015,1748,57.9,Asia,33736494
217,Afghanistan,2016,1740,58.02,Asia,34656032
218,Afghanistan,2017,1798,58.36,Asia,35530081
219,Albania,1800,667,35.4,Europe,410445
220,Albania,1801,667,35.4,Europe,411734
221,Albania,1802,667,35.4,Europe,413026
222,Albania,1803,667,35.4,Europe,414323
223,Albania,1804,667,35.4,Europe,415624
224,Albania,1805,668,35.4,Europe,416929
225,Albania,1806,668,35.4,Europe,418237
226,Albania,1807,668,35.4,Europe,419550
227,Albania,1808,668,35.4,Europe,420868
228,Albania,1809,668,35.4,Europe,422189
229,Albania,1810,668,35.4,Europe,423591
230,Albania,1811,668,35.4,Europe,424949
231,Albania,1812,668,35.4,Europe,426340
232,Albania,1813,668,35.4,Europe,427763
233,Albania,1814,668,35.4,Europe,429220
234,Albania,1815,669,35.4,Europe,430711
235,Albania,1816,669,35.4,Europe,432235
236,Albania,1817,669,35.4,Europe,433792
237,Albania,1818,669,35.4,Europe,435384
238,Albania,1819,669,35.4,Europe,437010
239,Albania,1820,669,35.4,Europe,438671
240,Albania,1821,671,35.4,Europe,440367
241,Albania,1822,672,35.4,Europe,442097
242,Albania,1823,674,35.4,Europe,443863
243,Albania,1824,675,35.4,Europe,445665
244,Albania,1825,677,35.4,Europe,447502
245,Albania,1826,678,35.4,Europe,449375
246,Albania,1827,680,35.4,Europe,451285
247,Albania,1828,681,35.4,Europe,453231
248,Albania,1829,683,35.4,Europe,455214
249,Albania,1830,684,35.4,Europe,457234
250,Albania,1831,686,35.4,Europe,459291
251,Albania,1832,688,35.4,Europe,461357
252,Albania,1833,689,35.4,Europe,463433
253,Albania,1834,691,35.4,Europe,465518
254,Albania,1835,692,35.4,Europe,467613
255,Albania,1836,694,35.4,Europe,469716
256,Albania,1837,695,35.4,Europe,471830
257,Albania,1838,697,35.4,Europe,473953
258,Albania,1839,699,35.4,Europe,476085
259,Albania,1840,700,35.4,Europe,478227
260,Albania,1841,702,35.4,Europe,480496
261,Albania,1842,703,35.4,Europe,482893
262,Albania,1843,705,35.4,Europe,485419
263,Albania,1844,707,35.4,Europe,488078
264,Albania,1845,708,35.4,Europe,490869
265,Albania,1846,710,35.4,Europe,493796
266,Albania,1847,711,35.4,Europe,496859
267,Albania,1848,713,35.4,Europe,500062
268,Albania,1849,715,35.4,Europe,503404
269,Albania,1850,716,35.4,Europe,506889
270,Albania,1851,718,35.4,Europe,510780
271,Albania,1852,720,35.4,Europe,514821
272,Albania,1853,721,35.4,Europe,519014
273,Albania,1854,723,35.4,Europe,523361
274,Albania,1855,724,35.4,Europe,527865
275,Albania,1856,726,35.4,Europe,532526
276,Albania,1857,728,35.4,Europe,537348
277,Albania,1858,729,35.4,Europe,542333
278,Albania,1859,731,35.4,Europe,547483
279,Albania,1860,733,35.4,Europe,552800
280,Albania,1861,734,35.4,Europe,558285
281,Albania,1862,736,35.4,Europe,563821
282,Albania,1863,738,35.4,Europe,569410
283,Albania,1864,739,35.4,Europe,575051
284,Albania,1865,741,35.4,Europe,580746
285,Albania,1866,743,35.4,Europe,586494
286,Albania,1867,745,35.4,Europe,592297
287,Albania,1868,746,35.4,Europe,598154
288,Albania,1869,748,35.4,Europe,604067
289,Albania,1870,750,35.4,Europe,610036
290,Albania,1871,761,35.4,Europe,616061
291,Albania,1872,772,35.4,Europe,622143
292,Albania,1873,784,35.41,Europe,628113
293,Albania,1874,795,35.41,Europe,634308
294,Albania,1875,807,35.41,Europe,640561
295,Albania,1876,819,35.41,Europe,646873
296,Albania,1877,831,35.42,Europe,653080
297,Albania,1878,844,35.42,Europe,659507
298,Albania,1879,856,35.42,Europe,665994
299,Albania,1880,869,35.42,Europe,672545
300,Albania,1881,882,35.43,Europe,679004
301,Albania,1882,895,35.43,Europe,685682
302,Albania,1883,908,35.43,Europe,692426
303,Albania,1884,922,35.43,Europe,699096
304,Albania,1885,936,35.43,Europe,705996
305,Albania,1886,950,35.44,Europe,712988
306,Albania,1887,964,35.44,Europe,719888
307,Albania,1888,978,35.44,Europe,727055
308,Albania,1889,993,35.44,Europe,734321
309,Albania,1890,1007,35.45,Europe,741690
310,Albania,1891,1021,35.45,Europe,749160
311,Albania,1892,1036,35.45,Europe,756735
312,Albania,1893,1050,35.45,Europe,764415
313,Albania,1894,1065,35.46,Europe,772202
314,Albania,1895,1079,35.46,Europe,780097
315,Albania,1896,1094,35.46,Europe,788036
316,Albania,1897,1109,35.46,Europe,795992
317,Albania,1898,1125,35.47,Europe,803964
318,Albania,1899,1140,35.47,Europe,811950
319,Albania,1900,1156,35.47,Europe,819951
320,Albania,1901,1172,35.47,Europe,827966
321,Albania,1902,1187,35.47,Europe,836031
322,Albania,1903,1203,35.48,Europe,844038
323,Albania,1904,1219,35.48,Europe,852043
324,Albania,1905,1235,35.48,Europe,860044
325,Albania,1906,1251,35.48,Europe,868121
326,Albania,1907,1268,35.49,Europe,876112
327,Albania,1908,1285,35.49,Europe,884339
328,Albania,1909,1302,35.49,Europe,892676
329,Albania,1910,1319,35.49,Europe,901124
330,Albania,1911,1342,35.5,Europe,909604
331,Albania,1912,1365,35.5,Europe,918312
332,Albania,1913,1388,35.5,Europe,925945
333,Albania,1914,1406,35.5,Europe,932486
334,Albania,1915,1424,35.5,Europe,937916
335,Albania,1916,1442,35.51,Europe,943378
336,Albania,1917,1460,35.51,Europe,948871
337,Albania,1918,1478,19.49,Europe,953764
338,Albania,1919,1497,35.51,Europe,958841
339,Albania,1920,1516,35.52,Europe,963958
340,Albania,1921,1535,35.52,Europe,969107
341,Albania,1922,1555,35.52,Europe,974278
342,Albania,1923,1575,35.52,Europe,979450
343,Albania,1924,1595,35.53,Europe,984276
344,Albania,1925,1615,35.53,Europe,989448
345,Albania,1926,1635,35.53,Europe,994619
346,Albania,1927,1654,35.53,Europe,1000135
347,Albania,1928,1674,35.53,Europe,1005306
348,Albania,1929,1694,35.54,Europe,1010478
349,Albania,1930,1706,36.43,Europe,1015994
350,Albania,1931,1718,37.34,Europe,1021510
351,Albania,1932,1730,38.24,Europe,1027026
352,Albania,1933,1742,39.14,Europe,1032197
353,Albania,1934,1753,40.04,Europe,1037713
354,Albania,1935,1765,40.94,Europe,1043229
355,Albania,1936,1776,41.84,Europe,1052538
356,Albania,1937,1787,42.75,Europe,1063225
357,Albania,1938,1798,43.64,Europe,1082532
358,Albania,1939,1809,43.19,Europe,1102527
359,Albania,1940,1820,42.19,Europe,1123213
360,Albania,1941,1830,41.69,Europe,1139416
361,Albania,1942,1841,40.19,Europe,1150104
362,Albania,1943,1851,37.18,Europe,1157688
363,Albania,1944,1861,34.17,Europe,1164928
364,Albania,1945,1871,47.23,Europe,1176994
365,Albania,1946,1881,50.25,Europe,1195267
366,Albania,1947,1891,51.77,Europe,1213883
367,Albania,1948,1900,52.67,Europe,1232845
368,Albania,1949,1909,53.58,Europe,1246636
369,Albania,1950,1918,54.47,Europe,1263174
370,Albania,1951,2003,54.69,Europe,1287497
371,Albania,1952,2008,55.18,Europe,1316089
372,Albania,1953,2091,55.77,Europe,1348099
373,Albania,1954,2153,56.49,Europe,1382878
374,Albania,1955,2271,57.33,Europe,1419970
375,Albania,1956,2294,58.28,Europe,1459089
376,Albania,1957,2442,59.32,Europe,1500149
377,Albania,1958,2553,60.42,Europe,1543222
378,Albania,1959,2658,61.56,Europe,1588484
379,Albania,1960,2792,62.66,Europe,1636056
380,Albania,1961,2815,63.69,Europe,1685900
381,Albania,1962,2908,64.59,Europe,1737644
382,Albania,1963,3006,65.33,Europe,1790534
383,Albania,1964,3107,65.88,Europe,1843593
384,Albania,1965,3219,66.27,Europe,1896125
385,Albania,1966,3337,66.54,Europe,1947785
386,Albania,1967,3460,66.74,Europe,1998693
387,Albania,1968,3581,66.93,Europe,2049151
388,Albania,1969,3699,67.13,Europe,2099653
389,Albania,1970,3831,67.39,Europe,2150598
390,Albania,1971,3975,68.01,Europe,2202035
391,Albania,1972,4121,68.63,Europe,2253844
392,Albania,1973,4317,69.24,Europe,2306003
393,Albania,1974,4323,69.81,Europe,2358463
394,Albania,1975,4328,70.35,Europe,2411229
395,Albania,1976,4335,70.85,Europe,2464336
396,Albania,1977,4344,71.32,Europe,2517872
397,Albania,1978,4353,71.73,Europe,2571850
398,Albania,1979,4364,72,Europe,2626286
399,Albania,1980,4385,72.25,Europe,2681239
400,Albania,1981,4398,72.4,Europe,2735329
401,Albania,1982,4411,72.5,Europe,2788314
402,Albania,1983,4427,72.61,Europe,2842624
403,Albania,1984,4441,72.8,Europe,2901592
404,Albania,1985,4454,72.98,Europe,2966798
405,Albania,1986,4471,73.16,Europe,3041007
406,Albania,1987,4488,73.18,Europe,3121336
407,Albania,1988,4505,73.39,Europe,3197067
408,Albania,1989,4528,73.65,Europe,3253656
409,Albania,1990,4557,73.9,Europe,3281454
410,Albania,1991,3228,73.88,Europe,3275431
411,Albania,1992,3014,73.92,Europe,3240587
412,Albania,1993,3324,73.94,Europe,3189583
413,Albania,1994,3622,73.99,Europe,3140595
414,Albania,1995,4129,74.14,Europe,3106736
415,Albania,1996,4533,74.31,Europe,3092228
416,Albania,1997,4067,72.47,Europe,3093041
417,Albania,1998,4461,74.33,Europe,3103759
418,Albania,1999,5096,74.39,Europe,3115576
419,Albania,2000,5470,74.43,Europe,3121970
420,Albania,2001,5960,74.48,Europe,3122408
421,Albania,2002,6231,74.52,Europe,3119029
422,Albania,2003,6615,74.59,Europe,3111005
423,Albania,2004,7022,74.72,Europe,3097747
424,Albania,2005,7462,74.91,Europe,3079179
425,Albania,2006,7917,75.16,Europe,3054331
426,Albania,2007,8448,75.4,Europe,3023907
427,Albania,2008,9154,75.58,Europe,2991651
428,Albania,2009,9525,75.88,Europe,2962635
429,Albania,2010,9927,76.31,Europe,2940525
430,Albania,2011,10208,76.69,Europe,2926659
431,Albania,2012,10370,76.97,Europe,2920039
432,Albania,2013,10504,77.2,Europe,2918978
433,Albania,2014,10715,77.39,Europe,2920775
434,Albania,2015,11025,77.56,Europe,2923352
435,Albania,2016,11425,77.71,Europe,2926348
436,Albania,2017,11912,77.86,Europe,2930187
437,Algeria,1800,715,28.82,Africa,2503218
438,Algeria,1801,716,28.82,Africa,2512195
439,Algeria,1802,717,28.82,Africa,2521203
440,Algeria,1803,718,28.82,Africa,2530245
441,Algeria,1804,719,28.82,Africa,2539318
442,Algeria,1805,720,28.82,Africa,2548424
443,Algeria,1806,721,28.82,Africa,2557563
444,Algeria,1807,722,28.82,Africa,2566734
445,Algeria,1808,723,28.82,Africa,2575939
446,Algeria,1809,724,28.82,Africa,2585176
447,Algeria,1810,725,28.82,Africa,2595056
448,Algeria,1811,726,28.82,Africa,2604775
449,Algeria,1812,727,28.82,Africa,2614945
450,Algeria,1813,728,28.82,Africa,2625571
451,Algeria,1814,729,28.82,Africa,2636656
452,Algeria,1815,730,28.82,Africa,2648205
453,Algeria,1816,731,28.82,Africa,2660224
454,Algeria,1817,732,28.82,Africa,2672716
455,Algeria,1818,733,28.82,Africa,2685686
456,Algeria,1819,734,28.82,Africa,2699138
457,Algeria,1820,735,28.82,Africa,2713079
458,Algeria,1821,743,28.82,Africa,2727511
459,Algeria,1822,751,28.82,Africa,2742441
460,Algeria,1823,759,28.82,Africa,2757872
461,Algeria,1824,767,28.82,Africa,2773810
462,Algeria,1825,775,28.82,Africa,2790260
463,Algeria,1826,784,28.82,Africa,2807226
464,Algeria,1827,792,28.82,Africa,2824713
465,Algeria,1828,801,28.82,Africa,2842727
466,Algeria,1829,810,28.82,Africa,2861273
467,Algeria,1830,819,28.82,Africa,2880355
468,Algeria,1831,828,28.82,Africa,2899979
469,Algeria,1832,837,28.82,Africa,2919737
470,Algeria,1833,846,28.82,Africa,2939629
471,Algeria,1834,855,28.82,Africa,2959657
472,Algeria,1835,864,28.82,Africa,2979821
473,Algeria,1836,874,28.82,Africa,3000123
474,Algeria,1837,883,28.82,Africa,3020562
475,Algeria,1838,893,28.82,Africa,3041142
476,Algeria,1839,903,28.82,Africa,3061861
477,Algeria,1840,912,28.82,Africa,3082721
478,Algeria,1841,922,28.82,Africa,3103724
479,Algeria,1842,932,28.82,Africa,3124870
480,Algeria,1843,943,28.82,Africa,3146160
481,Algeria,1844,953,28.82,Africa,3167595
482,Algeria,1845,963,28.82,Africa,3189175
483,Algeria,1846,974,28.82,Africa,3210903
484,Algeria,1847,984,28.82,Africa,3232779
485,Algeria,1848,995,28.82,Africa,3254804
486,Algeria,1849,1006,20,Africa,3276979
487,Algeria,1850,1017,15,Africa,3299305
488,Algeria,1851,1028,22,Africa,3322288
489,Algeria,1852,1039,28.82,Africa,3345431
490,Algeria,1853,1051,28.82,Africa,3368734
491,Algeria,1854,1062,28.82,Africa,3392201
492,Algeria,1855,1074,28.82,Africa,3415830
493,Algeria,1856,1085,28.82,Africa,3439624
494,Algeria,1857,1097,28.82,Africa,3463583
495,Algeria,1858,1109,28.82,Africa,3487710
496,Algeria,1859,1121,28.82,Africa,3512004
497,Algeria,1860,1133,28.82,Africa,3536468
498,Algeria,1861,1146,28.82,Africa,3561454
499,Algeria,1862,1158,28.82,Africa,3586971
500,Algeria,1863,1171,28.82,Africa,3613024
501,Algeria,1864,1184,28.82,Africa,3639622
502,Algeria,1865,1197,28.82,Africa,3666770
503,Algeria,1866,1210,28.82,Africa,3694476
504,Algeria,1867,1223,21,Africa,3722748
505,Algeria,1868,1236,11,Africa,3751592
506,Algeria,1869,1250,15,Africa,3781016
507,Algeria,1870,1263,22,Africa,3811028
508,Algeria,1871,1277,28.86,Africa,3841635
509,Algeria,1872,1291,28.9,Africa,3872845
510,Algeria,1873,1305,28.94,Africa,3902099
511,Algeria,1874,1319,28.98,Africa,3934634
512,Algeria,1875,1334,29.02,Africa,3967833
513,Algeria,1876,1348,29.06,Africa,4001706
514,Algeria,1877,1363,29.11,Africa,4034621
515,Algeria,1878,1378,29.15,Africa,4070192
516,Algeria,1879,1393,29.19,Africa,4106516
517,Algeria,1880,1408,29.23,Africa,4143163
518,Algeria,1881,1423,29.27,Africa,4179287
519,Algeria,1882,1439,29.31,Africa,4216584
520,Algeria,1883,1454,29.35,Africa,4254213
521,Algeria,1884,1470,29.39,Africa,4291414
522,Algeria,1885,1486,29.43,Africa,4329711
523,Algeria,1886,1503,29.47,Africa,4368350
524,Algeria,1887,1519,29.51,Africa,4406661
525,Algeria,1888,1536,29.55,Africa,4445986
526,Algeria,1889,1552,29.59,Africa,4485662
527,Algeria,1890,1569,29.63,Africa,4525691
528,Algeria,1891,1586,29.68,Africa,4566078
529,Algeria,1892,1604,29.72,Africa,4606825
530,Algeria,1893,1621,29.76,Africa,4647936
531,Algeria,1894,1639,29.8,Africa,4689414
532,Algeria,1895,1657,29.84,Africa,4731261
533,Algeria,1896,1675,29.88,Africa,4773482
534,Algeria,1897,1693,29.92,Africa,4816080
535,Algeria,1898,1711,29.96,Africa,4859057
536,Algeria,1899,1730,30,Africa,4902418
537,Algeria,1900,1749,30.08,Africa,4946166
538,Algeria,1901,1768,30.17,Africa,4990304
539,Algeria,1902,1787,30.25,Africa,5034196
540,Algeria,1903,1807,31.25,Africa,5079119
541,Algeria,1904,1826,25.28,Africa,5124443
542,Algeria,1905,1846,28.02,Africa,5170172
543,Algeria,1906,1866,29.46,Africa,5216308
544,Algeria,1907,1887,29.39,Africa,5261920
545,Algeria,1908,1907,29.34,Africa,5308875
546,Algeria,1909,1928,30.87,Africa,5356248
547,Algeria,1910,1949,32.53,Africa,5404045
548,Algeria,1911,1997,32.28,Africa,5451990
549,Algeria,1912,2045,33.68,Africa,5500641
550,Algeria,1913,2095,31.46,Africa,5556904
551,Algeria,1914,2131,30.97,Africa,5620940
552,Algeria,1915,2168,30.48,Africa,5692913
553,Algeria,1916,2205,30.13,Africa,5765808
554,Algeria,1917,2243,30.17,Africa,5839635
555,Algeria,1918,2280,23.56,Africa,5913223
556,Algeria,1919,2318,30.25,Africa,5988038
557,Algeria,1920,2357,29.44,Africa,6063800
558,Algeria,1921,2418,29.48,Africa,6140520
559,Algeria,1922,2478,29.22,Africa,6218211
560,Algeria,1923,2538,31.84,Africa,6296885
561,Algeria,1924,2598,33.33,Africa,6376554
562,Algeria,1925,2657,34.1,Africa,6457232
563,Algeria,1926,2716,33.42,Africa,6538930
564,Algeria,1927,2775,28.62,Africa,6621661
565,Algeria,1928,2833,32.23,Africa,6705440
566,Algeria,1929,2891,32.46,Africa,6790278
567,Algeria,1930,2949,33.78,Africa,6876190
